ID,Survey status,Preferred language,hWave : WAVE TRACKER - WAVE TRACKER,Consent to participate,Province,Province/region,Age group,Age group,Gender identity,Gender identity,"Q4_1 : I, or someone close to me, has tested positive for COVID-19 ","Q4_2 : I, or someone close to me, has had symptoms of COVID-19 but has not been tested ","Q4_3 : I, or someone close to me, has been tested for COVID-19 but it was negative","Q4_4 : I, or someone close to me, is elderly and/or has a health condition that increases the risk of serious illness from COVID-19 ",Q4_5 : I have a job that exposes me to high risk of getting COVID-19 ,Q4_6 : Someone close to me has a job that exposes them to high risk of getting COVID-19 ,Q4_99 : None of the above,Q5 : How worried are you about the impact of COVID-19 on your personal financial situation?,Q6 : How have physical distancing measures due to the COVID-19 pandemic affected your employment situation? ,"Q6b : On average, how has the number of hours you are working for pay been affected by the COVID-19 pandemic? ",Q7 : How worried are you that you or someone close to you (close relative or friend) will get ill from COVID-19?,"Q8x1 : P2W frequency - Feeling nervous, anxious or on edge",Q8x2 : P2W frequency - Not being able to stop or control worrying,Q8x3 : P2W frequency - Worrying too much about different things,Q8x4 : P2W frequency - Trouble relaxing,Q8x5 : P2W frequency - Being so restless that it?s hard to sit still,Q8x6 : P2W frequency - Becoming easily annoyed or irritable,Q8x7 : P2W frequency - Feeling afraid as if something awful might happen,"Q15 : During the PAST 7 DAYS, on how many days did you drink ALCOHOL?",Q16 : Q16 - On how many of the PAST 7 DAYS did you drink 4 or more  drinks on one occasion? ,"Q17 : In the PAST 7 DAYS, did you drink more ALCOHOL, about the same, or less alcohol overall than you did before the COVID-19 pandemic started?","Q18 : During the PAST 7 DAYS, on how many days did you use CANNABIS (also known as marijuana, hash, 'pot')?","Q19 : In the PAST 7 DAYS, did you use CANNABIS more often, about the same, or less often overall than you did before the COVID-19 pandemic started? ","Q20x1 : In the PAST 7 DAYS, how often have you felt depressed? ","Q20x2 : In the PAST 7 DAYS, how often have you felt lonely?","Q20x3 : In the PAST 7 DAYS, how often have you felt hopeful about the future? ","Q23 : Including yourself, how many people are currently living in your household?",Live alone or with others?,Q24_1 : How many children <6 years old live in your household?,Q24_2 : How many children between the ages of 6 and 12 years old live in your household?,Q24_3 : How many children between the ages of 12 and 17 years old live in your household?,Q24DK_96 : Prefer  not to answer the age of children living in my household,hChildren : Do you have children living in your household?,Q25 : What is the highest level of education you have completed?,Q26 : What is your current marital status?,Q27 : Which of the following best describes your racial or ethnic group? ,Q28 : Total household income received in the 2019 year before taxes?,hIncome : Total household income received in the 2019 year before taxes?,Q29 : Area you consider to be living in
94,complete,English,1,"Yes, I agree to participate",Alberta,AB,30 to 39 years,18-39,Man,Male,0,0,0,0,0,1,0,Not very worried,"No change - I have continued working outside my home, as I always did",No change,Not very worried,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,5,3,Drink slightly more alcohol,0,,Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Most or all of the time (5-7 days),2,Live with others,0,0,0,0,No Kids,University diploma / degree,Married,"White (European, North American)","$140,000 or more",120k+,Urban area
2484,complete,English,1,"Yes, I agree to participate",Prince Edward Island,QC/ATL,40 to 49 years,40-59,Man,Male,0,0,1,0,0,1,0,Somewhat worried,"I have continued working, but now I am working from home instead of my usual location",Increased somewhat,Somewhat worried,Not at all,Several days,Not at all,Not at all,Several days,Several days,Not at all,3,3,Drink slightly less alcohol,0,,Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Occasionally or a moderate amount of the time (3-4 days),4,Live with others,0,2,0,0,Kids,University diploma / degree,Married,"Asian ? East (e.g., Chinese, Japanese, Korean)","$60,000  -  $79,999",40-79k,Urban area
2154,complete,English,1,"Yes, I agree to participate",Ontario,ON,40 to 49 years,40-59,Man,Male,1,0,0,1,0,1,0,Somewhat worried,"I have continued working, but now I am working from home instead of my usual location",No change,Very worried,Nearly every day,Nearly every day,Over half the days,Over half the days,Several days,Nearly every day,Nearly every day,0,,,7,No change,Occasionally or a moderate amount of the time (3-4 days),Rarely or none of the time (less than 1 day),Occasionally or a moderate amount of the time (3-4 days),3,Live with others,1,0,0,0,Kids,University diploma / degree,Married,"White (European, North American)","$80,000  -  $99,999",80-119k,Suburban area
1902,complete,English,1,"Yes, I agree to participate",Ontario,ON,30 to 39 years,18-39,Woman,Female,0,0,1,1,0,0,0,Somewhat worried,"I am not currently working, or I have been laid off/let go, due to the pandemic",,Not very worried,Over half the days,Several days,Nearly every day,Over half the days,Not at all,Nearly every day,Several days,5,0,Drink much more alcohol,I do not use cannabis,,Some or a little of the time (1-2 days),Occasionally or a moderate amount of the time (3-4 days),Rarely or none of the time (less than 1 day),2,Live with others,0,0,0,0,No Kids,University diploma / degree,Living with a partner,"White (European, North American)","$120,000  -  $139,999",120k+,Urban area
2997,complete,English,1,"Yes, I agree to participate",Ontario,ON,40 to 49 years,40-59,Woman,Female,0,0,0,0,0,1,0,Somewhat worried,"I have continued working, but now I am working from home instead of my usual location",Decreased somewhat,Very worried,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,0,,,I do not use cannabis,,Occasionally or a moderate amount of the time (3-4 days),Most or all of the time (5-7 days),Some or a little of the time (1-2 days),2,Live with others,0,0,0,0,No Kids,"Some post-high school education (college, technical, university, etc.)",Married,"White (European, North American)",Prefer not to answer,Prefer not to answer,Urban area
2276,complete,English,1,"Yes, I agree to participate",Ontario,ON,50 to 59 years,40-59,Man,Male,0,0,0,1,1,0,0,Somewhat worried,"I am not currently working, or I have been laid off/let go, due to the pandemic",,Somewhat worried,Over half the days,Several days,Several days,Several days,Several days,Not at all,Several days,2,0,Drink slightly more alcohol,6,Much more,Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Most or all of the time (5-7 days),2,Live with others,0,0,0,0,No Kids,"Some post-high school education (college, technical, university, etc.)",Widowed,Mixed heritage (e.g. Black ? North American & White ? North American),"$40,000  -  $59,999",40-79k,Urban area
2642,complete,English,1,"Yes, I agree to participate",Alberta,AB,70 years and over,60+,Woman,Female,0,0,0,1,0,0,0,Very worried,"No change - I have continued working from home, as I always did",No change,Very worried,Over half the days,Several days,Over half the days,Over half the days,Over half the days,Several days,Several days,0,,,0,,Some or a little of the time (1-2 days),Most or all of the time (5-7 days),Occasionally or a moderate amount of the time (3-4 days),1,Live alone,,,,,No Kids,Completed high school,Divorced,"White (European, North American)","$20,000  -  $39,999",Less than 40k,Suburban area
6719,complete,English,1,"Yes, I agree to participate",Ontario,ON,70 years and over,60+,Man,Male,0,0,0,1,0,0,0,Somewhat worried,"No change - I was not employed prior to the pandemic (e.g., retired, student, paid leave, recently graduated) and I have remained unemployed",,Very worried,Several days,Several days,Several days,Several days,Not at all,Several days,Several days,0,,,0,,Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),2,Live with others,,,,1,No Kids,University diploma / degree,Married,"White (European, North American)","$100,000  -  $119,999",80-119k,Urban area
1749,complete,English,1,"Yes, I agree to participate",Ontario,ON,60 to 69 years,60+,Man,Male,0,0,0,0,0,0,1,Not at all worried,"No change - I was not employed prior to the pandemic (e.g., retired, student, paid leave, recently graduated) and I have remained unemployed",,Somewhat worried,Over half the days,Several days,Several days,Several days,Not at all,Several days,Not at all,4,0,No change,0,,Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),2,Live with others,0,0,0,0,No Kids,University diploma / degree,Married,Other,"$120,000  -  $139,999",120k+,Urban area
2791,complete,English,1,"Yes, I agree to participate",Ontario,ON,30 to 39 years,18-39,Man,Male,0,0,0,0,0,0,1,Somewhat worried,"I have continued working, but now I am working from home instead of my usual location",No change,Somewhat worried,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,0,,,0,,Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Occasionally or a moderate amount of the time (3-4 days),4,Live with others,2,0,0,0,Kids,University diploma / degree,Married,"Asian ? East (e.g., Chinese, Japanese, Korean)","$140,000 or more",120k+,Suburban area
4958,complete,English,1,"Yes, I agree to participate",Ontario,ON,70 years and over,60+,Woman,Female,0,0,0,0,0,0,1,Very worried,"I am not currently working, or I have been laid off/let go, due to the pandemic",,Very worried,Not at all,Several days,Several days,Not at all,Not at all,Several days,Not at all,4,0,Drink slightly more alcohol,0,,Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),1,Live alone,,,,,No Kids,University diploma / degree,Divorced,"White (European, North American)",Prefer not to answer,Prefer not to answer,Urban area
4179,complete,English,1,"Yes, I agree to participate",Nova Scotia,QC/ATL,40 to 49 years,40-59,Man,Male,0,0,0,0,0,1,0,Somewhat worried,"No change - I have continued working outside my home, as I always did",No change,Very worried,Nearly every day,Nearly every day,Nearly every day,Over half the days,Nearly every day,Nearly every day,Over half the days,0,,,0,,Most or all of the time (5-7 days),Occasionally or a moderate amount of the time (3-4 days),Some or a little of the time (1-2 days),5,Live with others,1,2,0,0,Kids,University diploma / degree,Married,"Asian ? South (e.g., Indian, Pakistani, Sri Lankan)","$60,000  -  $79,999",40-79k,Urban area
1807,complete,English,1,"Yes, I agree to participate",Ontario,ON,60 to 69 years,60+,Man,Male,0,1,0,0,0,0,0,Somewhat worried,"I have continued working, but now I am working from home instead of my usual location",Decreased somewhat,Somewhat worried,Several days,Not at all,Several days,Not at all,Not at all,Several days,Several days,5,0,No change,2,No change,Some or a little of the time (1-2 days),Occasionally or a moderate amount of the time (3-4 days),Some or a little of the time (1-2 days),1,Live alone,,,,,No Kids,University diploma / degree,Divorced,"White (European, North American)","$140,000 or more",120k+,Suburban area
6729,complete,English,1,"Yes, I agree to participate",Nova Scotia,QC/ATL,18 to 29 years,18-39,Man,Male,0,0,0,0,1,0,0,Not at all worried,"No change - I have continued working outside my home, as I always did",Decreased somewhat,Somewhat worried,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not at all,0,,,1,Slightly more,Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),1,Live alone,,,,,No Kids,University diploma / degree,Never married,"White (European, North American)","$60,000  -  $79,999",40-79k,Urban area
6801,complete,English,1,"Yes, I agree to participate",British Columbia,BC,18 to 29 years,18-39,Woman,Female,0,0,0,1,0,0,0,Somewhat worried,"No change - I was not employed prior to the pandemic (e.g., retired, student, paid leave, recently graduated) and I have remained unemployed",,Not very worried,Several days,Not at all,Several days,Several days,Not at all,Nearly every day,Not at all,0,,,3,Slightly more,Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),4,Live with others,0,0,0,0,No Kids,"Some post-high school education (college, technical, university, etc.)",Never married,"White (European, North American)","$140,000 or more",120k+,Rural area
1826,complete,English,1,"Yes, I agree to participate",Alberta,AB,70 years and over,60+,Woman,Female,0,0,0,0,0,0,1,Very worried,"No change - I was not employed prior to the pandemic (e.g., retired, student, paid leave, recently graduated) and I have remained unemployed",,Very worried,Several days,Over half the days,Over half the days,Not at all,Not at all,Not at all,Not at all,0,,,0,,Most or all of the time (5-7 days),Occasionally or a moderate amount of the time (3-4 days),Some or a little of the time (1-2 days),1,Live alone,,,,,No Kids,University diploma / degree,Never married,"Asian ? South (e.g., Indian, Pakistani, Sri Lankan)","$20,000  -  $39,999",Less than 40k,Urban area
5452,complete,English,1,"Yes, I agree to participate",Newfoundland and Labrador,QC/ATL,70 years and over,60+,Woman,Female,0,0,1,1,0,0,0,Not very worried,"No change - I was not employed prior to the pandemic (e.g., retired, student, paid leave, recently graduated) and I have remained unemployed",,Very worried,Nearly every day,Over half the days,Over half the days,Nearly every day,Over half the days,Over half the days,Over half the days,I do not drink alcohol,,,I do not use cannabis,,Occasionally or a moderate amount of the time (3-4 days),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),2,Live with others,0,0,0,0,No Kids,Completed high school,Married,"White (European, North American)","$20,000  -  $39,999",Less than 40k,Urban area
2646,complete,English,1,"Yes, I agree to participate",Ontario,ON,70 years and over,60+,Man,Male,0,0,1,0,0,0,0,Somewhat worried,"No change - I was not employed prior to the pandemic (e.g., retired, student, paid leave, recently graduated) and I have remained unemployed",,Somewhat worried,Several days,Not at all,Several days,Several days,Over half the days,Over half the days,Not at all,7,2,No change,0,,Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Occasionally or a moderate amount of the time (3-4 days),2,Live with others,0,0,0,0,No Kids,University diploma / degree,Married,"White (European, North American)","$140,000 or more",120k+,Urban area
